arredamos	ar|re|da$mos|
infestáramos	in|fes|tá$ra|mos|
intrujaste	in|tru|jas$te|
agendará	a|gen|da|rá$
dedilharão	de|di|lha|rão$
colectaram	co|lec|ta$ram|
convocou	con|vo|cou$
desamotinastes	de|sa|mo|ti|nas$tes|
presumamos	pre|su|ma$mos|
cultivar	cul|ti|var$
repararei	re|pa|ra|rei$
fomentardes	fo|men|tar$des|
engendremos	en|gen|dre$mos|
pagodeio	pa|go|dei$o|
desairar-lhe-ias	de|sai|rar|lhe|i$as|
reavendo	re|a|ven$do|
descoubeste-lhes	des|cou|bes$te|lhes|
extenuados	ex|te|nu|a$dos|
impopularizar-lhes-emos	im|po|pu|la|ri|zar|lhes|e$mos|
digressionáramos	di|gres|si|o|ná$ra|mos|
alfabetássemos	al|fa|be|tás$se|mos|
miem	mi$em|
gingando	gin|gan$do|
desencorajarias	de|sen|co|ra|ja|ri$as|
colocar-te-iam	co|lo|car|te|i|am$
escarraram	es|car|ra$ram|
reentregarão	re|en|tre|ga|rão$
perdoava	per|do|a$va|
fechara	fe|cha$ra|
pastorar-se	pas|to|rar$se|
entenreças	en|ten|re$ças|
manobrando	ma|no|bran$do|
acarretar-lhas	a|car|re|tar|lhas$
oferendava	o|fe|ren|da$va|
vasilhame	va|si|lha$me|
informacional	in|for|ma|ci|o|nal$
decantavam	de|can|ta|vam$
ervanário	er|va|ná$rio|
cascaremos	cas|ca|re$mos|
ressacara	res|sa|ca$ra|
praguejei	pra|gue|jei$
retemperas	re|tem|pe$ras|
azulejáreis	a|zu|le|já$reis|
sornarei	sor|na|rei$
desnivelam	des|ni|ve|lam$
praceais	pra|ce|ais$
encalmasses	en|cal|mas$ses|
coloris	co|lo|ris$
apodrentáreis	a|po|dren|tá$reis|
cloroformizar-te-iam	clo|ro|for|mi|zar|te|i|am$
autonomizáreis	au|to|no|mi|zá$reis|
solidificando	so|li|di|fi|can$do|
brincáreis	brin|cá$reis|
paramento	pa|ra|men$to|
lancetadas	lan|ce|ta$das|
fadigares	fa|di|ga$res|
mesquinhar-me-íamos	mes|qui|nhar|me|í$a|mos|
incisamos	in|ci|sa$mos|
doutrinantes	dou|tri|nan$tes|
topografar-lhe-ão	to|po|gra|far|lhe|ão$
badanem	ba|da$nem|
formai	for|mai$
abespinhávamos	a|bes|pi|nhá$va|mos|
hospitalizariam	hos|pi|ta|li|za|ri|am$
censurássemos	cen|su|rás$se|mos|
reptos	rep$tos|
agrides	a|gri$des|
acovardasses	a|co|var|das$ses|
parear-te-ás	pa|re|ar|te|ás$
plicavas	pli|ca$vas|
prenhidão	pre|nhi|dão$
desencadernassem	de|sen|ca|der|nas$sem|
hastearão	has|te|a|rão$
ofuscámos	o|fus|cá$mos|
distraídos	dis|tra|í$dos|
desconjuntaremos	des|con|jun|ta|re$mos|
erubescerdes	e|ru|bes|cer$des|
lográreis	lo|grá$reis|
despovoaram	des|po|vo|a$ram|
compassarei	com|pas|sa|rei$
oprima	o|pri$ma|
convergidos	con|ver|gi$dos|
desmantelaríeis	des|man|te|la|rí$eis|
encapada	en|ca|pa$da|
emburguesam	em|bur|gue|sam$
boazinhas	bo|a|zi$nhas|
excederdes	ex|ce|der$des|
contei	con|tei$
translucidarás	trans|lu|ci|da|rás$
visualizarem	vi|su|a|li|za$rem|
aconselhar	a|con|se|lhar$
temperas	tem|pe$ras|
atoneis	a|to|neis$
aprecias	a|pre|ci$as|
apararão	a|pa|ra|rão$
nítrico	ní$tri|co|
repovoavam	re|po|vo|a|vam$
amoureis	a|mou|reis$
centelhes	cen|te$lhes|
ornamentarem	or|na|men|ta$rem|
Heitor	hei|tor$
equilibradora	e|qui|li|bra|do$ra|
moscadas	mos|ca$das|
desprevenirá	des|pre|ve|ni|rá$
embaralhações	em|ba|ra|lha|ções$
destituiria	des|ti|tu|i|ri$a|
dançaricarão	dan|ça|ri|ca|rão$
arrumámos	ar|ru|má$mos|
cerimoniosa	ce|ri|mo|ni|o$sa|
bucólico	bu|có$li|co|
desairarem	de|sai|ra$rem|
gasificar-lhes-emos	ga|si|fi|car|lhes|e$mos|
chilraste	chil|ras$te|
arrojadiço	ar|ro|ja|di$ço|
optimizaras	op|ti|mi|za$ras|
nutrificaríamos	nu|tri|fi|ca|rí$a|mos|
coincidis	coin|ci|dis$
produzíeis	pro|du|zí$eis|
subvertam	sub|ver|tam$
esposar-te-emos	es|po|sar|te|e$mos|
aracnóideo	a|rac|nói$deo|
hipertrofieis	hi|per|tro|fieis$
quebraste	que|bras$te|
promulgados	pro|mul|ga$dos|
paramilitar	pa|ra|mi|li|tar$
marsupial	mar|su|pi|al$
divido	di|vi$do|
mataremos	ma|ta|re$mos|
vegetaria	ve|ge|ta|ri$a|
regerásseis	re|ge|rás$seis|
ilibásseis	i|li|bás$seis|
desprezar-se-iam	des|pre|zar|se|i|am$
mortalhaste	mor|ta|lhas$te|
tossicaram	tos|si|ca$ram|
superfino	su|per|fi$no|
Taschen	tas|chen$
pérsio	pér$sio|
cilíndricas	ci|lín$dri|cas|
refugie	re|fu|gi$e|
apeçonhastes	a|pe|ço|nhas$tes|
submergíeis	sub|mer|gí$eis|
bruta	bru$ta|
escusassem	es|cu|sas$sem|
quadrarem	qua|dra$rem|
seringares	se|rin|ga$res|
encorpáveis	en|cor|pá$veis|
breviário	bre|vi|á$rio|
desenxabiríamos	de|sen|xa|bi|rí$a|mos|
condizias	con|di|zi$as|
realinhas	re|a|li$nhas|
homozigoto	ho|mo|zi|go$to|
azulando	a|zu|lan$do|
intercalaram	in|ter|ca|la$ram|
espingardearias	es|pin|gar|de|a|ri$as|
retraduzíssemos	re|tra|du|zís$se|mos|
maneirista	ma|nei|ris$ta|
rodeemos	ro|de|e$mos|
esquecestes	es|que|ces$tes|
entreolhe	en|tre|o$lhe|
desconjugaríamos	des|con|ju|ga|rí$a|mos|
sorteias	sor|tei$as|
criminalizasse	cri|mi|na|li|zas$se|
ralares	ra|la$res|
reindustrializariam	rein|dus|tri|a|li|za|ri|am$
trocaras	tro|ca$ras|
aprestamaras	a|pres|ta|ma$ras|
matricules	ma|tri|cu$les|
tontearias	ton|te|a|ri$as|
crepusculizas	cre|pus|cu|li$zas|
amarfanhada	a|mar|fa|nha$da|
cravariam	cra|va|ri|am$
desbaratasses	des|ba|ra|tas$ses|
incidiste	in|ci|dis$te|
preveniríamos	pre|ve|ni|rí$a|mos|
comandes	co|man$des|
sujai	su|jai$
mofáreis	mo|fá$reis|
preordene	pre|or|de$ne|
reedificações	re|e|di|fi|ca|ções$
baldeáveis	bal|de|á$veis|
alcançarás	al|can|ça|rás$
desapropriá-lo-ás	de|sa|pro|pri|á|lo|ás$
arrolhas	ar|ro$lhas|
calcificáveis	cal|ci|fi|cá$veis|
exercitará	e|xer|ci|ta|rá$
valorarão	va|lo|ra|rão$
enfatuada	en|fa|tu|a$da|
reciclava	re|ci|cla$va|
Simone	si|mo$ne|
replantarias	re|plan|ta|ri$as|
mortificando	mor|ti|fi|can$do|
macacada	ma|ca|ca$da|
vistoriara	vis|to|ri|a$ra|
recobraria	re|co|bra|ri$a|
bacilizaste	ba|ci|li|zas$te|
mutuaria	mu|tu|a|ri$a|
teologizais	te|o|lo|gi|zais$
avinharíeis	a|vi|nha|rí$eis|
prenderdes	pren|der$des|
espanholizadas	es|pa|nho|li|za$das|
vendidas	ven|di$das|
contiver-lhes-ás	con|ti|ver|lhes|ás$
muraríamos	mu|ra|rí$a|mos|
leccionaria	lec|ci|o|na|ri$a|
reemergísseis	re|e|mer|gís$seis|
válvula	vál$vu|la|
raptadores	rap|ta|do$res|
injustificadas	in|jus|ti|fi|ca$das|
remanescêssemos	re|ma|nes|cês$se|mos|
planas	pla$nas|
cordeeis	cor|deeis$
granavas	gra|na$vas|
vetamos	ve|ta$mos|
desencostares	de|sen|cos|ta$res|
nanar-se-iam	na|nar|se|i|am$
entravá-lo-ia	en|tra|vá|lo|i$a|
crural	cru|ral$
triunfar-nos-emos	tri|un|far|nos|e$mos|
conotaria	co|no|ta|ri$a|
badalejas	ba|da|le$jas|
tornar-nos-ias	tor|nar|nos|i$as|
aparentava	a|pa|ren|ta$va|
desembainhasse	de|sem|bai|nhas$se|
alugaste	a|lu|gas$te|
gotejaremos	go|te|ja|re$mos|
regimentámos	re|gi|men|tá$mos|
malfadares	mal|fa|da$res|
endemizavas	en|de|mi|za$vas|
pubescêsseis	pu|bes|cês$seis|
descobriríeis	des|co|bri|rí$eis|
reateis	re|a|teis$
diligenciou	di|li|gen|ci|ou$
contratais	con|tra|tais$
distorcia	dis|tor|ci$a|
labializavas	la|bi|a|li|za$vas|
bocejeis	bo|ce|jeis$
escaramuçaria	es|ca|ra|mu|ça|ri$a|
formastes	for|mas$tes|
preguem	pre$guem|
substancializavas	subs|tan|ci|a|li|za$vas|
engripá-lo-íamos	en|gri|pá|lo|í$a|mos|
infinito	in|fi|ni$to|
reliam	re|li|am$
convulsos	con|vul$sos|
encabeças	en|ca|be$ças|
advogar-me-iam	ad|vo|gar|me|i|am$
pacteamos	pac|te|a$mos|
consoaríeis	con|so|a|rí$eis|
derrapar-se-ia	der|ra|par|se|i$a|
apertasses	a|per|tas$ses|
alterar-vos-ei	al|te|rar|vos|ei$
escaqueiraremos	es|ca|quei|ra|re$mos|
esverdeada	es|ver|de|a$da|
sofreria	so|fre|ri$a|
radicalizasse	ra|di|ca|li|zas$se|
assapássemos	as|sa|pás$se|mos|
tarraxo	tar|ra$xo|
desempatas	de|sem|pa$tas|
blinda	blin$da|
ministras	mi|nis$tras|
assingelámos	as|sin|ge|lá$mos|
viscondize	vis|con|di$ze|
golejarem	go|le|ja$rem|
subidos	su|bi$dos|
tropeçam	tro|pe|çam$
orfanáveis	or|fa|ná$veis|
distarei	dis|ta|rei$
economizardes	e|co|no|mi|zar$des|
jogues	jo$gues|
envolve	en|vol$ve|
ladrilharemos	la|dri|lha|re$mos|
profusa	pro|fu$sa|
esfacelamento	es|fa|ce|la|men$to|
desempacoteis	de|sem|pa|co|teis$
culpabilizar-lhe-á	cul|pa|bi|li|zar|lhe|á$
desarvorados	de|sar|vo|ra$dos|
consoemos	con|so|e$mos|
queimaram	quei|ma$ram|
distribui-lo-ão	dis|tri|bu|i|lo|ão$
ansiavas	an|si|a$vas|
colorar-vos-íamos	co|lo|rar|vos|í$a|mos|
alavancarão	a|la|van|ca|rão$
crestas	cres$tas|
contorcionem	con|tor|ci|o$nem|
apaniguará	a|pa|ni|gua|rá$
convertimento	con|ver|ti|men$to|
descristianizarás	des|cris|ti|a|ni|za|rás$
desqualifiquei	des|qua|li|fi|quei$
medicasse	me|di|cas$se|
rendáramos	ren|dá$ra|mos|
vencendo	ven|cen$do|
arreliento	ar|re|li|en$to|
espionará	es|pi|o|na|rá$
alcoolificarás	al|co|o|li|fi|ca|rás$
engasgá-lo-eis	en|gas|gá|lo|eis$
perdoável	per|do|á$vel|
acobertásseis	a|co|ber|tás$seis|
turváreis	tur|vá$reis|
arrecuado	ar|re|cu|a$do|
calibrávamos	ca|li|brá$va|mos|
descortiçávamos	des|cor|ti|çá$va|mos|
desvinculavam	des|vin|cu|la|vam$
destingirei	des|tin|gi|rei$
desembalavam	de|sem|ba|la|vam$
despachadores	des|pa|cha|do$res|
limamos	li|ma$mos|
alhearam	a|lhe|a$ram|
fortalecestes	for|ta|le|ces$tes|
cascalhemos	cas|ca|lhe$mos|
desassoreá-lo-ia	de|sas|so|re|á|lo|i$a|
afeiçoado	a|fei|ço|a$do|
desenfronharas	de|sen|fro|nha$ras|
transcendestes	trans|cen|des$tes|
esgrouvio	es|grou|vi$o|
bruni	bru|ni$
escolhê-las	es|co|lhê$las|
desaclimata	de|sa|cli|ma$ta|
convalescêssemos	con|va|les|cês$se|mos|
competia	com|pe|ti$a|
imobilizáramos	i|mo|bi|li|zá$ra|mos|
acriançaríamos	a|cri|an|ça|rí$a|mos|
conviva	con|vi$va|
reavaliardes	re|a|va|li|ar$des|
suplantaram	su|plan|ta$ram|
paridades	pa|ri|da$des|
levedada	le|ve|da$da|
cocegaram	co|ce|ga$ram|
forrasse	for|ras$se|
empoeirai	em|poei|rai$
avivadora	a|vi|va|do$ra|
desertificassem	de|ser|ti|fi|cas$sem|
asnos	as$nos|
corroeremos-te	cor|ro|e|re$mos|te|
encascar-me-iam	en|cas|car|me|i|am$
revisse-as	re|vis$se|as|
singularizáreis	sin|gu|la|ri|zá$reis|
homiliaríeis	ho|mi|li|a|rí$eis|
exibida	e|xi|bi$da|
reprimirão	re|pri|mi|rão$
comerciantes	co|mer|ci|an$tes|
cintilados	cin|ti|la$dos|
acalcavam	a|cal|ca|vam$
noemáticas	no|e|má$ti|cas|
aduza	a|du$za|
deduziríeis	de|du|zi|rí$eis|
acreditador	a|cre|di|ta$dor|
refinanciaria	re|fi|nan|ci|a|ri$a|
receies	re|cei$es|
atafeguemos	a|ta|fe|gue$mos|
engordurámos	en|gor|du|rá$mos|
saldemos	sal|de$mos|
velhaqueias	ve|lha|quei$as|
entrincheirariam	en|trin|chei|ra|ri|am$
etiquetando	e|ti|que|tan$do|
gatarias	ga|ta|ri$as|
deflagro	de|fla$gro|
capturamos	cap|tu|ra$mos|
governar	go|ver|nar$
dealbando	de|al|ban$do|
exaspereis	e|xas|pe|reis$
rebaixasses	re|bai|xas$ses|
pronunciar	pro|nun|ci|ar$
centraras	cen|tra$ras|
gastáveis	gas|tá$veis|
torturais	tor|tu|rais$
governar-lhes-íamos	go|ver|nar|lhes|í$a|mos|
quartearemos	quar|te|a|re$mos|
comiserasses	co|mi|se|ras$ses|
chutassem	chu|tas$sem|
reitoral	rei|to|ral$
sangrento	san|gren$to|
transparentado	trans|pa|ren|ta$do|
escandalosos	es|can|da|lo$sos|
higienizar	hi|gi|e|ni|zar$
hostilizámos	hos|ti|li|zá$mos|
aprende	a|pren$de|
desagonies	de|sa|go|ni$es|
trinastes	tri|nas$tes|
cambaleámos	cam|ba|le|á$mos|
vegetáveis	ve|ge|tá$veis|
tisnemos	tis|ne$mos|
entrámos	en|trá$mos|
corporificadas	cor|po|ri|fi|ca$das|
inabilitadas	i|na|bi|li|ta$das|
afiliarão	a|fi|li|a|rão$
premiasse	pre|mi|as$se|
bajularão	ba|ju|la|rão$
promulgadores	pro|mul|ga|do$res|
resmungariam	res|mun|ga|ri|am$
repetiu	re|pe|ti|u$
escrutinarás	es|cru|ti|na|rás$
corretarão	cor|re|ta|rão$
retraçarás	re|tra|ça|rás$
aturdem	a|tur$dem|
desbarataste	des|ba|ra|tas$te|
reprimirdes	re|pri|mir$des|
desamotinar	de|sa|mo|ti|nar$
rectangularidades	rec|tan|gu|la|ri|da$des|
desapoquentasse	de|sa|po|quen|tas$se|
folhetinizar-me-eis	fo|lhe|ti|ni|zar|me|eis$
apalpasses	a|pal|pas$ses|
vendadas	ven|da$das|
descascásseis	des|cas|cás$seis|
reencetáramos	re|en|ce|tá$ra|mos|
despreparo	des|pre|pa$ro|
transitivar-nos-emos	tran|si|ti|var|nos|e$mos|
abetumasses	a|be|tu|mas$ses|
gamar-lhe	ga|mar$lhe|
enfronháreis	en|fro|nhá$reis|
desenformadoras	de|sen|for|ma|do$ras|
escocesas	es|co|ce$sas|
apolvilhar-me-iam	a|pol|vi|lhar|me|i|am$
fundamentem	fun|da|men$tem|
abduzísseis	ab|du|zís$seis|
perfil	per|fil$
repensadores	re|pen|sa|do$res|
impelirão	im|pe|li|rão$
despregada	des|pre|ga$da|
aderido	a|de|ri$do|
retardatárias	re|tar|da|tá$rias|
sobranceásseis	so|bran|ce|ás$seis|
suscitávamos	sus|ci|tá$va|mos|
raposar-te-íamos	ra|po|sar|te|í$a|mos|
enredásseis	en|re|dás$seis|
apressaremos	a|pres|sa|re$mos|
toranjeira	to|ran|jei$ra|
vocalizá-lo	vo|ca|li|zá$lo|
chamam	cha|mam$
embaralhávamos	em|ba|ra|lhá$va|mos|
gondolados	gon|do|la$dos|
denominar-vos-emos	de|no|mi|nar|vos|e$mos|
disjuntaríamos	dis|jun|ta|rí$a|mos|
arruarás	ar|ru|a|rás$
efectivavas	e|fec|ti|va$vas|
ladrar-lhes-ão	la|drar|lhes|ão$
arguidora	ar|gui|do$ra|
desconectai	des|co|nec|tai$
marinharei	ma|ri|nha|rei$
despediu	des|pe|di|u$
prospectássemos	pros|pec|tás$se|mos|
desconchavaríeis	des|con|cha|va|rí$eis|
ruivas	ru|i$vas|
raiáramos	rai|á$ra|mos|
fanfarreavam	fan|far|re|a|vam$
destoáreis	des|to|á$reis|
disparatar-nos-á	dis|pa|ra|tar|nos|á$
engelhasse	en|ge|lhas$se|
mesquinharíamos	mes|qui|nha|rí$a|mos|
tachassem	ta|chas$sem|
alunar-me-ei	a|lu|nar|me|ei$
cocarias	co|ca|ri$as|
sismicidade	sis|mi|ci|da$de|
comparticipada	com|par|ti|ci|pa$da|
martirizei	mar|ti|ri|zei$
quarteá-lo-ia	quar|te|á|lo|i$a|
escarnísseis	es|car|nís$seis|
detrito	de|tri$to|
desmentirão	des|men|ti|rão$
esfaimar-lhe-ia	es|fai|mar|lhe|i$a|
abdiquem	ab|di$quem|
desforrando	des|for|ran$do|
cotaríeis	co|ta|rí$eis|
enfortecereis	en|for|te|ce|reis$
trovejáramos	tro|ve|já$ra|mos|
tendes-te	ten$des|te|
nivelareis	ni|ve|la|reis$
construíramos-vos	cons|tru|í$ra|mos|vos|
lesamos	le|sa$mos|
travaria	tra|va|ri$a|
atoxicassem	a|to|xi|cas$sem|
vassoirásseis	vas|soi|rás$seis|
sustar-nos	sus|tar$nos|
embotávamos	em|bo|tá$va|mos|
toldava	tol|da$va|
telintarem	te|lin|ta$rem|
começáveis	co|me|çá$veis|
enaltecimento	e|nal|te|ci|men$to|
reduplicáveis	re|du|pli|cá$veis|
numeres	nu|me$res|
espanholizámos	es|pa|nho|li|zá$mos|
batucar-me-iam	ba|tu|car|me|i|am$
reavistado	re|a|vis|ta$do|
germanizares	ger|ma|ni|za$res|
esqueletos	es|que|le$tos|
porteassem	por|te|as$sem|
urbanizar	ur|ba|ni|zar$
apanicas	a|pa|ni$cas|
sustáveis	sus|tá$veis|
sensaborizaras	sen|sa|bo|ri|za$ras|
gasógeno	ga|só$ge|no|
arpearíeis	ar|pe|a|rí$eis|
escalonamos	es|ca|lo|na$mos|
golejáveis	go|le|já$veis|
mossar-lhe-emos	mos|sar|lhe|e$mos|
fritava	fri|ta$va|
óptimos	óp$ti|mos|
microbiano	mi|cro|bi|a$no|
preludiavam	pre|lu|di|a|vam$
refundareis	re|fun|da|reis$
bonificamos	bo|ni|fi|ca$mos|
pastavam	pas|ta|vam$
bigamizado	bi|ga|mi|za$do|
antepassaste	an|te|pas|sas$te|
persuasório	per|su|a|só$rio|
descravavas	des|cra|va$vas|
incompatibilizareis	in|com|pa|ti|bi|li|za|reis$
arranque	ar|ran$que|
confederaríeis	con|fe|de|ra|rí$eis|
arroxareis	ar|ro|xa|reis$
vaziaram	va|zi|a$ram|
rescrevíamos	res|cre|ví$a|mos|
reabituaríamos	re|a|bi|tu|a|rí$a|mos|
atolaremos	a|to|la|re$mos|
espremereis	es|pre|me|reis$
qualificarias	qua|li|fi|ca|ri$as|
cerzis	cer|zis$
aviações	a|vi|a|ções$
entorpecesses	en|tor|pe|ces$ses|
estorvámos	es|tor|vá$mos|
semelhásseis	se|me|lhás$seis|
paleontologia	pa|le|on|to|lo|gi$a|
estroncaremos	es|tron|ca|re$mos|
calvasse	cal|vas$se|
calculadora	cal|cu|la|do$ra|
incineraste	in|ci|ne|ras$te|
sobrescrever-lhes-ia	so|bres|cre|ver|lhes|i$a|
beijocar-vos-eis	bei|jo|car|vos|eis$
georreferenciavas	ge|or|re|fe|ren|ci|a$vas|
topávamos	to|pá$va|mos|
lembrares	lem|bra$res|
proporcionavas	pro|por|ci|o|na$vas|
rareando	ra|re|an$do|
abrasá-lo-á	a|bra|sá|lo|á$
contrafazerdes	con|tra|fa|zer$des|
desconfiado	des|con|fi|a$do|
validávamos	va|li|dá$va|mos|
adoptariam	a|dop|ta|ri|am$
amartelar	a|mar|te|lar$
reabastecendo	re|a|bas|te|cen$do|
panificar-vos-íeis	pa|ni|fi|car|vos|í$eis|
enjeitara	en|jei|ta$ra|
gozemos	go|ze$mos|
tropeçai	tro|pe|çai$
enrugavam	en|ru|ga|vam$
remeti	re|me|ti$
convulsionem	con|vul|si|o$nem|
enjoasse	en|jo|as$se|
qualificai	qua|li|fi|cai$
desalojássemos	de|sa|lo|jás$se|mos|
reaparecia	re|a|pa|re|ci$a|
ameixas	a|mei$xas|
soturno	so|tur$no|
vaporemos	va|po|re$mos|
burocratizadoras	bu|ro|cra|ti|za|do$ras|
agonize	a|go|ni$ze|
coleccionar-te-ás	co|lec|ci|o|nar|te|ás$
sirga	sir$ga|
coreografares	co|re|o|gra|fa$res|
atalaiara	a|ta|lai|a$ra|
coligimos	co|li|gi$mos|
malignaras	ma|lig|na$ras|
fustigações	fus|ti|ga|ções$
arrodelados	ar|ro|de|la$dos|
desmembrador	des|mem|bra$dor|
cancerara	can|ce|ra$ra|
evades	e|va$des|
excreção	ex|cre|ção$
desassombravam	de|sas|som|bra|vam$
mapeássemos	ma|pe|ás$se|mos|
idealizem	i|de|a|li$zem|
procede	pro|ce$de|
mesóclises	me|só$cli|ses|
desprogrameis	des|pro|gra|meis$
ajoelhado	a|jo|e|lha$do|
sistematizas	sis|te|ma|ti$zas|
buscastes	bus|cas$tes|
atenuação	a|te|nu|a|ção$
exular	e|xu|lar$
desatordoem	de|sa|tor|do$em|
emaranhariam	e|ma|ra|nha|ri|am$
assidraras	as|si|dra$ras|
crustaceologia	crus|ta|ce|o|lo|gi$a|
desengonçáramos	de|sen|gon|çá$ra|mos|
contraporem	con|tra|po$rem|
enganchando	en|gan|chan$do|
absteria	abs|te|ri$a|
transeunte	tran|seun$te|
convertam	con|ver|tam$
cortinou	cor|ti|nou$
reavivariam	re|a|vi|va|ri|am$
impôs	im|pôs$
encrencávamos	en|cren|cá$va|mos|
emborcaremos	em|bor|ca|re$mos|
exibiras	e|xi|bi$ras|
pareçamos	pa|re|ça$mos|
antropólogas	an|tro|pó$lo|gas|
periodizamos	pe|ri|o|di|za$mos|
beliscais	be|lis|cais$
parafinarás	pa|ra|fi|na|rás$
engendraria	en|gen|dra|ri$a|
intrigamos	in|tri|ga$mos|
amadurecer-lhe-á	a|ma|du|re|cer|lhe|á$
promulga	pro|mul$ga|
desestruturáveis	de|ses|tru|tu|rá$veis|
cancionista	can|ci|o|nis$ta|
demografaram	de|mo|gra|fa$ram|
obscureceríeis	obs|cu|re|ce|rí$eis|
completassem	com|ple|tas$sem|
facturassem	fac|tu|ras$sem|
abaixes	a|bai$xes|
condecorara	con|de|co|ra$ra|
penteariam	pen|te|a|ri|am$
passar	pas|sar$
açoiteiras	a|çoi|tei$ras|
derrotaram	der|ro|ta$ram|
engajamos	en|ga|ja$mos|
amestrara	a|mes|tra$ra|
concedente	con|ce|den$te|
pesavam	pe|sa|vam$
peçam-lha	pe|çam|lha$
desachegar-lhe-ás	de|sa|che|gar|lhe|ás$
pervertê-lo-á	per|ver|tê|lo|á$
nitrais	ni|trais$
conglutinação	con|glu|ti|na|ção$
arrie	ar|ri$e|
cicatrizásseis	ci|ca|tri|zás$seis|
prevaricas	pre|va|ri$cas|
abolíeis	a|bo|lí$eis|
policromático	po|li|cro|má$ti|co|
mendigares	men|di|ga$res|
descloretais	des|clo|re|tais$
confluir-te-íamos	con|flu|ir|te|í$a|mos|
alindes	a|lin$des|
pornógrafos	por|nó$gra|fos|
rebaptizemos	re|bap|ti|ze$mos|
desmazelemos	des|ma|ze|le$mos|
subaproveitarás	su|ba|pro|vei|ta|rás$
exerceste	e|xer|ces$te|
atarefas	a|ta|re$fas|
consensual	con|sen|su|al$
descrevidas	des|cre|vi$das|
ajudada	a|ju|da$da|
menstruaria	mens|tru|a|ri$a|
computadora	com|pu|ta|do$ra|
encarapuçada	en|ca|ra|pu|ça$da|
bandoleasses	ban|do|le|as$ses|
fotocopiasse	fo|to|co|pi|as$se|
marcavam	mar|ca|vam$
tipicamente	ti|pi|ca|men$te|
desairavas	de|sai|ra$vas|
desagravem	de|sa|gra$vem|
adjuvaram	ad|ju|va$ram|
cinturar-nos-eis	cin|tu|rar|nos|eis$
ruborescera	ru|bo|res|ce$ra|
solavancar-me-íamos	so|la|van|car|me|í$a|mos|
unharíeis	u|nha|rí$eis|
instigador	ins|ti|ga$dor|
descredibilizasses	des|cre|di|bi|li|zas$ses|
amolentarão	a|mo|len|ta|rão$
cirandaram	ci|ran|da$ram|
premieis	pre|mieis$
sobressaltarão	so|bres|sal|ta|rão$
branquejáreis	bran|que|já$reis|
desfasarão	des|fa|sa|rão$
cantará	can|ta|rá$
sacramentei	sa|cra|men|tei$
amourei	a|mou|rei$
ritualizadas	ri|tu|a|li|za$das|
estilizaríeis	es|ti|li|za|rí$eis|
comprovardes	com|pro|var$des|
atida	a|ti$da|
fosfora	fos|fo$ra|
hibernou	hi|ber|nou$
saraivar-te-ão	sa|rai|var|te|ão$
expectariam	ex|pec|ta|ri|am$
distraidores	dis|trai|do$res|
excursionistas	ex|cur|si|o|nis$tas|
despenalizes	des|pe|na|li$zes|
atacávamos	a|ta|cá$va|mos|
repisamento	re|pi|sa|men$to|
moldador	mol|da$dor|
rabada	ra|ba$da|
ameace	a|me|a$ce|
esconsas	es|con$sas|
gasolinas	ga|so|li$nas|
opinante	o|pi|nan$te|
imprensas	im|pren$sas|
castificardes	cas|ti|fi|car$des|
esféricos	es|fé$ri|cos|
incubarem	in|cu|ba$rem|
submarino	sub|ma|ri$no|
amontar-nos	a|mon|tar$nos|
animalizarás	a|ni|ma|li|za|rás$
encadeirariam	en|ca|dei|ra|ri|am$
lascara	las|ca$ra|
fraquejásseis	fra|que|jás$seis|
Sobreda	so|bre$da|
arrepelou	ar|re|pe|lou$
agasalharmos	a|ga|sa|lhar$mos|
desuníreis	de|su|ní$reis|
reciprocado	re|ci|pro|ca$do|
refundi	re|fun|di$
incomunicarmos	in|co|mu|ni|car$mos|
amargarmos	a|mar|gar$mos|
afumastes	a|fu|mas$tes|
intermitiremos	in|ter|mi|ti|re$mos|
multilíngua	mul|ti|lín$gua|
cingiste	cin|gis$te|
exerciam	e|xer|ci|am$
enlevavam	en|le|va|vam$
afligindo	a|fli|gin$do|
listaríamos	lis|ta|rí$a|mos|
preserváramos	pre|ser|vá$ra|mos|
encolerizeis	en|co|le|ri|zeis$
miniaturar-nos-eis	mi|ni|a|tu|rar|nos|eis$
justiçar-nos-eis	jus|ti|çar|nos|eis$
capoeiro	ca|poei$ro|
decotadas	de|co|ta$das|
recolherás	re|co|lhe|rás$
investíssemos	in|ves|tís$se|mos|
niveláramos	ni|ve|lá$ra|mos|
adornar-se-iam	a|dor|nar|se|i|am$
corroborariam	cor|ro|bo|ra|ri|am$
repercutira	re|per|cu|ti$ra|
agror	a|gror$
adjuvas	ad|ju$vas|
demonstrámos	de|mons|trá$mos|
açoitavas	a|çoi|ta$vas|
recopiaríeis	re|co|pi|a|rí$eis|
infamáreis	in|fa|má$reis|
ciático	ci|á$ti|co|
hostilizará	hos|ti|li|za|rá$
arquivamentos	ar|qui|va|men$tos|
cromá-lo-ei	cro|má|lo|ei$
batoteareis	ba|to|te|a|reis$
ouvirias	ou|vi|ri$as|
deserdas	de|ser$das|
solvê-lo-ás	sol|vê|lo|ás$
prezar	pre|zar$
leiloámos	lei|lo|á$mos|
conjecturarei	con|jec|tu|ra|rei$
anexáveis	a|ne|xá$veis|
encavacar-vos-ias	en|ca|va|car|vos|i$as|
interpenetrasse	in|ter|pe|ne|tras$se|
esperaríamos	es|pe|ra|rí$a|mos|
